Slug (URL: /employer/resources/…),Title,Topic Cluster,Role (Pillar/Hub/Flagship/Spoke),Status,Target Persona,Search Intent,Primary Keyword,Secondary Keywords,Links OUT,Links IN (live+planned),Orphan check,CTA,Statistics Used,Schema,Visual Assets,Content Owner,Last Updated,Refresh Date,Notes
virtual-hiring-events,Virtual Hiring Events: The Complete Guide,Hiring Events,PILLAR,LIVE,Employer / TA lead (verify),Informational (verify),virtual hiring events,AUDIT (pull from GSC page filter),14,10,ok,AUDIT,AUDIT,AUDIT,AUDIT,Scott Lobenberg,2026-04-30,+12 months from last update,Every post links here where natural
how-to-interview-candidates-at-a-virtual-hiring-event,How to Interview Candidates at a Virtual Hiring Event,Hiring Events,Spoke,LIVE,Recruiter / hiring manager (verify),Informational (verify),interview candidates virtual hiring event,AUDIT,5,3,ok,AUDIT,AUDIT,AUDIT,AUDIT,Scott Lobenberg,2026-05-20,+12 months from last update,
how-does-a-virtual-job-fair-work,How Does a Virtual Job Fair Work?,Hiring Events,Spoke,LIVE,Employer new to virtual events (verify),Informational (verify),how does a virtual job fair work,AUDIT,4,3,ok,event bundles (crawled),AUDIT,AUDIT,AUDIT,Scott Lobenberg,2026-05-05,+12 months from last update,Good first link for cold readers
how-to-host-a-virtual-hiring-event,Should You Host Your Own Virtual Hiring Event?,Hiring Events,Spoke,LIVE,Employer considering DIY (verify),Informational (verify),how to host a virtual hiring event,AUDIT,4,7,ok,hiring event calendar (crawled),AUDIT,AUDIT,AUDIT,Scott Lobenberg,2026-04-27,+12 months from last update,Contrarian; do not write competing virtual how-to-host
best-virtual-hiring-event-platforms,Best Virtual Hiring Event Platforms: 2026 Comparison,Hiring Events,Spoke,LIVE,Employer comparing vendors (verify),Commercial (verify),virtual hiring event platforms,AUDIT,4,7,ok,AUDIT,AUDIT,AUDIT,AUDIT,Scott Lobenberg,2026-05-08,+12 months from last update,Commercial; link from commercial contexts
virtual-vs-in-person-hiring-event,Virtual Hiring Event vs In-Person Career Fair,Hiring Events,Spoke,LIVE,Employer choosing format (verify),Informational (verify),virtual vs in person hiring event,AUDIT,8,5,ok,AUDIT,AUDIT,AUDIT,AUDIT,Scott Lobenberg,2026-05-12,+12 months from last update,
recruiting-roi,Recruiting ROI: How to Measure the Return,Metrics & ROI,Spoke,LIVE,TA / finance stakeholder (verify),Informational (verify),recruiting roi,AUDIT,10,10,ok,pricing + calendar (crawled),AUDIT,AUDIT,AUDIT,Scott Lobenberg,2026-04-10,+12 months from last update,Ranks #2 for recruiting roi
time-to-fill,Time to Fill: Benchmarks and How to Reduce It,Metrics & ROI,Spoke,LIVE,TA ops (verify),Informational (verify),time to fill,AUDIT,9,10,ok,hiring event calendar (crawled),AUDIT,AUDIT,AUDIT,Scott Lobenberg,2026-04-15,2026-10-15 (quarterly — stats-heavy),
high-volume-hiring,High Volume Hiring Events: Hire at Scale Fast,Metrics & ROI,Spoke,LIVE,High-volume employer (verify),Commercial-informational (verify),high volume hiring,AUDIT,18,6,ok,hiring event calendar (crawled),AUDIT,AUDIT,AUDIT,Scott Lobenberg,2026-04-21,+12 months from last update,"Owns this term; link, don't compete"
cost-per-hire,Cost Per Hire: 2026 Benchmarks by Industry,Metrics & ROI,Spoke,DRAFTED,TA / HR leader (budget owner),Informational (SERP-verified Jul 21),cost per hire (400/mo KD6),average cost per hire 2026; cost per hire by industry; SHRM cost per hire formula; cost per hire calculator,6,10,ok,"healthcare job fairs calendar (/employer/healthcare-hiring-event-calendar — NEW page, red dev note)","SHRM $5,475; Pin 2026 table; NSI $60,090; Workable 49-day TTF; CIPD+RPOA; FIRST-PARTY: 582 healthcare events 2025 (35 interviews, 8 hires per employer/event)",Article + FAQPage (4 Q),"1600x900 card (illustration); industry cost chart; components: compare #1, candidates #2, calculator #9, stat callouts + pull quotes #10; founder quote card",Scott Lobenberg,2026-07-21 (draft),2026-10-15 (quarterly — stats-heavy),Wk1 Tue
why-hospitals-struggle-entry-level-clinical-hiring,Why Hospitals Struggle to Fill Entry-Level Clinical Roles,Healthcare,Spoke,DRAFTED,Hospital TA / nursing leadership,Informational (SERP-verified),AEO awareness prompts,entry-level clinical hiring; hospital hiring challenges; RN vacancy rate 2026,10,7,ok,healthcare job fairs calendar (/employer/healthcare-hiring-event-calendar — big CTA banner; page ships with post #1),"Workable 49-day TTF; NSI 78-day RN recruit, 9.6% vacancy, $5.19M/yr, $60,090, 16.4% turnover; FIRST-PARTY: 582 healthcare events 2025 (35 interviews, 8 hires, 91% show)",Article + FAQPage (4 Q),1600x900 card (iStock photo); time-to-fill chart; verticals grid #4,Scott Lobenberg,2026-07-21 (draft),+12 months from last update,Wk1 Thu; highest AEO leverage
how-to-choose-a-nurse-job-fair,How to Choose a Nurse Job Fair,Healthcare,Spoke,DRAFTED,Hospital TA / recruiter,Consideration / AEO prompts (SERP-verified),AEO consideration prompts,nurse job fairs near me; nursing career fair; healthcare job fair for hospitals,7,5,ok,healthcare job fairs calendar (NEW page once live),NACE 45% interview invitation; NSI 16.4% RN turnover; Pin $9K–$12K healthcare CPH; JobFairX 91% show rate,Article + FAQPage (4 Q),1600x900 card (iStock photo); healthcare candidates widget #6; evergreen calendar card #7,Scott Lobenberg,2026-07-21 (draft),+12 months from last update,Wk2 Tue; commercial intent
